	t	H	expr	parvals	sse	bic	Hp
65000	65000	-106.932091078565	((_a2_ * -(_a0_)) * ((_a3_ * ((_a0_ * P) ** (_a1_ / (_a2_ * P)))) + (T + (-(_a4_) * _a2_))))	{'France': {'_a0_': 27.6927641351227, '_a1_': 1.374068761884637, '_a2_': 1.1637643657460985, '_a3_': 2.810336321346686e-08, '_a4_': -0.001777832747064113}}	{'France': 0.23248321773579822}	-324.40915067739	55.27248426013053
42000	42000	-100.699658878754	((_a2_ * _a3_) * (_a3_ + (((_a3_ * (T / (sqrt(log(_a3_)) * P))) + pow2(P)) / ((_a1_ ** P) + T))))	{'France': {'_a1_': 1.1287503006272541e-32, '_a2_': -4.620018866346572e-21, '_a3_': 4997413271.1203785, '_a0_': 1.0, '_a4_': 1.0}}	{'France': 0.24478919854365438}	-328.235814105534	63.41824817401326
60000	60000	-109.212318948084	((_a2_ * pow2(T)) / (_a3_ / (_a3_ ** T)))	{'France': {'_a2_': -2.097989438449909e-163, '_a3_': 2.528151030966513e-168, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'France': 0.4587826336509667}	-265.693478513025	23.63442030842748
67000	67000	-131.917021081845	((_a2_ + ((P * (_a0_ * _a0_)) / _a1_)) * P)	{'France': {'_a0_': 14.214452731991887, '_a1_': 10.829582356452574, '_a2_': -4.7564931235464485, '_a3_': 1.0, '_a4_': 1.0}}	{'France': 0.29037695216881926}	-309.962087897811	23.064022867060974
64000	64000	-120.177956754393	((_a2_ + (_a3_ * -((P ** (pow3((P * (_a0_ * T))) * _a2_))))) + P)	{'France': {'_a0_': -4646.238764283437, '_a2_': -0.42996300343405724, '_a3_': -0.2855403694805559, '_a1_': 1.0, '_a4_': 1.0}}	{'France': 0.2459964937622869}	-327.709389431846	43.676737961531344
64000	64000	-111.271432413562	((_a2_ + (pow2(T) * (_a4_ * _a2_))) * pow2(T))	{'France': {'_a2_': -37262.43348046033, '_a4_': -30285.741178195196, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'France': 0.43384371126395943}	-271.673941335744	24.565538254309438
24000	24000	-108.444097140889	((_a2_ / (_a1_ / (exp(P) + (_a2_ + (P ** ((P * P) * ((_a0_ * T) * P))))))) / P)	{'France': {'_a0_': 171601.8883693246, '_a1_': -45.75759634223977, '_a2_': -2.079721759044796, '_a3_': 1.0, '_a4_': 1.0}}	{'France': 0.2490732011390306}	-326.379427484797	54.74561660150957
41000	41000	-103.563279431097	((_a3_ * (T / _a4_)) * (T + (T * (T * (_a4_ + _a4_)))))	{'France': {'_a3_': 4172948.8804866537, '_a4_': -80.39126216426307, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0}}	{'France': 0.43682796326474943}	-270.940447358927	31.906944248366248
69000	69000	-97.7047511258436	((_a3_ * T) * (T * (_a0_ * pow2((pow2(pow2(_a0_)) + (_a3_ * T))))))	{'France': {'_a0_': 1.622184895188322, '_a3_': -796.9177589235574, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'France': 0.4452385507249436}	-268.899875318548	36.74518653342983
21000	21000	-122.653773002015	((_a3_ * _a0_) * (P * -(((_a3_ * (_a3_ + -(P))) / _a3_))))	{'France': {'_a0_': 73.18295718764422, '_a3_': 0.2549402803547332, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'France': 0.29037695216790305}	-314.634916732611	34.663685364290394
39000	39000	-94.8810200682055	((_a3_ * _a3_) * (_a3_ * ((T ** (tan(_a3_) * _a4_)) * (T + _a4_))))	{'France': {'_a3_': 394.2723824693024, '_a4_': -0.005804025886203363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0}}	{'France': 0.43510656512983925}	-271.362932840889	40.80044635223896
91000	91000	-125.552735721767	((_a3_ ** (P / pow2(log(P)))) * (P * (_a1_ * _a3_)))	{'France': {'_a1_': -346017249.28644603, '_a3_': 1.2007334872513335e-08, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'France': 0.2860479849287171}	-316.242092874056	32.56831071526085
34000	34000	-105.485669326701	((_a3_ ** T) / ((_a4_ / pow3(T)) * _a2_))	{'France': {'_a2_': -5.683762697948966e-29, '_a3_': 6.65773581088933e-297, '_a4_': 2.5518290723769795e+20, '_a0_': 1.0, '_a1_': 1.0}}	{'France': 0.44637396896231335}	-263.954529411057	26.4915953788276
76000	76000	-74.2641471428441	((_a3_ + ((T ** ((-((pow2(_a1_) ** T)) * (_a0_ ** P)) / exp(((P / ((((P * _a0_) * _a3_) * P) * P)) * _a1_)))) * -(T))) * _a4_)	{'France': {'_a0_': 0.0002867962903452878, '_a1_': -7.82099283745248e-09, '_a3_': -0.006531285261058748, '_a4_': 14.470534123522393, '_a2_': 1.0}}	{'France': 0.2525589688724776}	-320.219520375816	85.8456130450643
90000	90000	-63.9265144163988	((_a3_ + exp(((_a0_ ** (pow2(((tanh(((P / (_a3_ / _a0_)) / _a2_)) * T) * (_a3_ + (_a4_ / (_a3_ * -(_a3_)))))) / _a4_)) ** (_a0_ / _a2_)))) * (_a0_ + (P / _a3_)))	{'France': {'_a0_': 0.14808873930472957, '_a2_': 265.32221078160643, '_a3_': -3.556379119549328, '_a4_': 7.001290154574346e+19, '_a1_': 1.0}}	{'France': 0.217701506563065}	-336.111146782371	104.12905897478686
45000	45000	-99.2327254659698	((_a3_ / ((_a0_ * _a1_) + ((((P ** _a4_) * _a1_) / T) * ((_a0_ * (_a2_ * P)) + _a1_)))) * P)	{'France': {'_a0_': 1.3134692128174918e+26, '_a1_': -1.674951077755103e-41, '_a2_': 4.2360236839344525, '_a3_': 8.452412538659535e-15, '_a4_': 2.6435227265531123}}	{'France': 0.27810420605452635}	-305.237121290526	53.38583517929322
29000	29000	-94.0929281423181	((_a3_ / (T ** -(_a1_))) * pow2((((T * T) + _a0_) * -(_a0_))))	{'France': {'_a0_': -4.8363922259163364e-05, '_a1_': 2.0849702480600665, '_a3_': -1.2256027189267925e+22, '_a2_': 1.0, '_a4_': 1.0}}	{'France': 0.43586175624102946}	-266.504550830347	39.15934727285525
57000	57000	-88.6676916544298	((_a3_ / -(((_a4_ + (exp((((P * pow2(P)) * T) * _a3_)) * _a1_)) * (_a0_ * sqrt((_a4_ * pow2(_a4_))))))) + (P / _a4_))	{'France': {'_a0_': -4224942.0833894145, '_a1_': 1.5590001085691332, '_a3_': -1406183.9327214411, '_a4_': 0.8898328422407784, '_a2_': 1.0}}	{'France': 0.2444125191778343}	-323.727762697839	73.19618969448993
82000	82000	-111.165839373289	((_a3_ / _a1_) * ((T ** (_a1_ / (pow2(((T * _a4_) * pow2(P))) + (T ** T)))) / P))	{'France': {'_a1_': 0.38526334297091364, '_a3_': -0.016013294398848223, '_a4_': 89097.4306193554, '_a0_': 1.0, '_a2_': 1.0}}	{'France': 0.2446359438785277}	-328.302824351977	52.98557280269917
73000	73000	-86.9454674121544	((_a3_ / pow2(((_a1_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * (((P * (_a1_ * _a4_)) ** P) * _a4_)))) + ((_a3_ + _a0_) + P))	{'France': {'_a0_': -533518.7378066512, '_a1_': 1303.7378468616303, '_a2_': 160207.93860590272, '_a3_': 533518.3164948453, '_a4_': 1.0}}	{'France': 0.21423139414777312}	-333.157612850191	79.6333390129412
72000	72000	-88.6699383599225	((_a3_ / pow2(((_a1_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * (((P * _a1_) ** P) * (_a3_ / _a0_))))) + ((_a3_ + _a0_) + P))	{'France': {'_a0_': -533518.7378066512, '_a1_': 1303.7378468616303, '_a2_': 160207.93860590272, '_a3_': 533518.3164948453, '_a4_': 1.0}}	{'France': 0.21423136229031528}	-337.830457596178	80.24529043816663
71000	71000	-96.3165724541267	((_a3_ / pow2(((_a1_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * (((_a3_ * _a1_) ** P) / _a1_)))) + (cos(_a1_) + P))	{'France': {'_a1_': 1876.6706421794572, '_a2_': 155593.5355731121, '_a3_': 0.3809088051196377, '_a0_': 1.0, '_a4_': 1.0}}	{'France': 0.20882136670724183}	-345.240066247999	76.30346066987315
67000	67000	-104.206012821773	((_a3_ / pow2(((_a2_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * ((_a1_ ** P) / _a1_)))) + (_a0_ + P))	{'France': {'_a0_': -0.4189377093126053, '_a1_': 1502.3278179116267, '_a2_': 157724.7909331742, '_a3_': 4440.471310106156, '_a4_': 1.0}}	{'France': 0.20932198845774275}	-340.311025986351	65.94950017140269
63000	63000	-104.206012821773	((_a3_ / pow2(((_a2_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * ((_a1_ ** P) / _a1_)))) + (_a0_ + P))	{'France': {'_a0_': -0.4189377093126053, '_a1_': 1502.3278179116267, '_a2_': 157724.7909331742, '_a3_': 4440.471310106156, '_a4_': 1.0}}	{'France': 0.20932198845774275}	-340.311025986351	65.94950017140269
60000	60000	-104.206012821773	((_a3_ / pow2(((_a2_ + (exp((((_a1_ ** P) * T) * _a2_)) ** T)) * ((_a1_ ** P) / _a1_)))) + (_a0_ + P))	{'France': {'_a0_': -0.4189377093126053, '_a1_': 1502.3278179116267, '_a2_': 157724.7909331742, '_a3_': 4440.471310106156, '_a4_': 1.0}}	{'France': 0.20932198845774275}	-340.311025986351	65.94950017140269
61000	61000	-131.420277479465	((_a4_ * (P * _a1_)) + (pow2(P) / -(_a1_)))	{'France': {'_a1_': -0.053598370160177974, '_a4_': 88.74324197168671, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'France': 0.29037695216790305}	-314.634916732611	25.89718088684058
27000	27000	-80.9877978043374	((_a4_ * -(_a2_)) + (T * (_a4_ + ((((_a1_ * T) * _a3_) / T) ** (T + T)))))	{'France': {'_a1_': 1.0754427377962536e+75, '_a2_': 1.2976340545055845e-298, '_a3_': 2.1082734386677062e+73, '_a4_': -85.98899746949851, '_a0_': 1.0}}	{'France': 0.4634524437823578}	-255.264205686028	46.64430503867608
35000	35000	-77.3775244062159	((_a4_ * pow2((_a3_ * T))) * ((pow2(pow2((sqrt(((_a4_ ** _a2_) * _a1_)) * _a2_))) ** T) + _a2_))	{'France': {'_a1_': -4.744907004410059e+53, '_a2_': -4.512683613141983, '_a3_': 199.930723229702, '_a4_': 0.29391180215858725, '_a0_': 1.0}}	{'France': 0.433192064216221}	-262.489121891052	53.867036539309815
41000	41000	-104.81976407264	((_a4_ * pow3(_a1_)) * ((_a1_ / (P * ((P ** log((-(P) * -(T)))) + _a1_))) + _a2_))	{'France': {'_a1_': 2407668689.654852, '_a2_': 7.747159020578079, '_a4_': -1.3505559170429967e-30, '_a0_': 1.0, '_a3_': 1.0}}	{'France': 0.2524989315390594}	-324.917787856821	57.63912985577048
63000	63000	-90.9918336294672	((_a4_ ** ((T * (_a2_ * pow2(_a2_))) * _a4_)) + ((T ** _a3_) + _a2_))	{'France': {'_a2_': -3.206280805990266, '_a3_': -0.11381770913949966, '_a4_': 0.36772190803803645, '_a0_': 1.0, '_a1_': 1.0}}	{'France': 0.4711932771267955}	-258.164623674334	38.09047820769947
66000	66000	-129.566659649134	((_a4_ + (-(T) + (P * (P + _a2_)))) * P)	{'France': {'_a2_': 18.42122452660713, '_a4_': -4.740881892596898, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'France': 0.2901853483042723}	-314.705543482354	27.78611209204342
38000	38000	-112.845083900934	((_a4_ + _a0_) * (((T + _a0_) * T) * T))	{'France': {'_a0_': -0.006219581418614824, '_a4_': 8345897.749465936, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'France': 0.4368279632647495}	-270.940447358927	22.625139778529554
30000	30000	-68.2551386392212	((_a4_ / (((P / (((((_a4_ * P) + _a1_) * ((_a0_ ** _a2_) * P)) * ((_a3_ ** P) * _a1_)) * ((_a0_ ** exp(P)) ** -(P)))) / T) + P)) / _a3_)	{'France': {'_a0_': 8.47228875526984e-219, '_a1_': 1.0659175966151556e-83, '_a2_': -0.7770967973875769, '_a3_': 1.2867741894562047e-234, '_a4_': -5.105486122717958e-236}}	{'France': 0.2445356920566323}	-319.001024275378	91.245373498468
35000	35000	-63.7632556304188	((_a4_ / (((P / (((_a1_ * (((_a0_ + (-(_a3_) / _a2_)) ** _a2_) * P)) * ((_a3_ ** P) * _a1_)) * ((_a0_ ** exp(P)) ** -(P)))) / T) + P)) / _a3_)	{'France': {'_a0_': 2.842703169241376e-219, '_a1_': 5.991725983545579e-84, '_a2_': -0.7777063434982036, '_a3_': 3.809621046794666e-235, '_a4_': -1.5113049549937127e-236}}	{'France': 0.2445357861205334}	-319.000983116416	95.737235927789
28000	28000	-72.9266153711277	((_a4_ / (((P / (((_a1_ * ((_a0_ ** _a2_) * P)) * ((_a3_ ** P) * _a1_)) * ((_a0_ ** exp(P)) ** -((P + _a0_))))) / T) + P)) / _a3_)	{'France': {'_a0_': 8.47228875526984e-219, '_a1_': 1.0659175966151556e-83, '_a2_': -0.7770967973875769, '_a3_': 1.2867741894562047e-234, '_a4_': -5.105486122717958e-236}}	{'France': 0.2445356920566323}	-319.001024275378	86.57389676656152
