	t	H	expr	parvals	sse	bic	Hp
73000	73000	-200.087411246456	((((((_a0_ + (T ** ((_a0_ + (_a3_ ** P)) * P))) * _a3_) + (((_a0_ + ((P * (-(-(_a3_)) * pow2(_a4_))) * T)) * T) / _a4_)) * _a3_) * (_a2_ / _a1_)) * _a3_)	{'Italy': {'_a0_': -59.344647345594325, '_a1_': -1.8869206476390806e+303, '_a2_': -8.627811184478431e+58, '_a3_': 4.005530748235153e+80, '_a4_': 11607107.03102489}}	{'Italy': 0.019194832056956664}	-591.286085561972	95.55563153452968
68000	68000	-179.012081174427	((((((_a0_ / (P + P)) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * sqrt(_a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 54291609.21396393, '_a1_': 0.4996337959574283, '_a2_': -3.155235522925568e+71, '_a3_': -0.20043581276600528, '_a4_': 4.5789574407305175e-08}}	{'Italy': 0.014563545289159324}	-620.830879641802	131.40335864647415
85000	85000	-175.749678303022	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * (_a4_ / _a0_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * sin(_a4_)) + ((T * sqrt(_a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 54291613.110470645, '_a1_': 0.4996337961135384, '_a2_': -8.87441556283409e+72, '_a3_': -0.2004357868929576, '_a4_': 3.237808442401762e-08}}	{'Italy': 0.014563545290415859}	-620.83087963257	134.6657615132635
80000	80000	-179.012081176759	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + (((T + T) * sqrt(_a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 13572942.389687859, '_a1_': 0.4996337958325856, '_a2_': -4.9300846273357745e+69, '_a3_': -0.2004359230417807, '_a4_': 6.475620325323642e-08}}	{'Italy': 0.014563545288524554}	-620.830879646466	131.40335864647415
56000	56000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779866
59000	59000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779866
61000	61000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779866
66000	66000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779868
63000	63000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779866
74000	74000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779862
75000	75000	-185.495062842965	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.01419413509481258}	-623.579993241526	126.29493377779862
55000	55000	-178.930604035668	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * sqrt(_a4_))) + _a3_)	{'Italy': {'_a0_': 37274479.439389944, '_a1_': 0.4996337958941382, '_a2_': -7.700865522797942e+71, '_a3_': -0.20043607082392995, '_a4_': 3.907625138294248e-08}}	{'Italy': 0.014563545289386682}	-620.830879640132	131.48483578439863
28000	28000	-189.517657192576	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * _a0_) * T)) + _a3_)	{'Italy': {'_a0_': 7368.314613656074, '_a1_': 0.49963379593510254, '_a2_': -2.3244669075581724e+53, '_a3_': -0.20043607912055963, '_a4_': 2.7792940456196e-06}}	{'Italy': 0.014563545289260457}	-620.830879641059	120.89778262795416
29000	29000	-189.517657192576	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * _a0_) * T)) + _a3_)	{'Italy': {'_a0_': 7368.314613656074, '_a1_': 0.49963379593510254, '_a2_': -2.3244669075581724e+53, '_a3_': -0.20043607912055963, '_a4_': 2.7792940456196e-06}}	{'Italy': 0.014563545289260457}	-620.830879641059	120.89778262795416
31000	31000	-179.792500602044	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * _a0_) * pow3(P))) + _a3_)	{'Italy': {'_a0_': 4414.18468508756, '_a1_': 0.49963601982504147, '_a2_': -4.949836741640023e+52, '_a3_': -0.1678820954650098, '_a4_': 3.240685625129594e-06}}	{'Italy': 0.015498307567787821}	-614.174482345556	127.29474057073416
79000	79000	-179.035907445386	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((sin(_a4_) * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / T)) * _a4_) + ((T * (T * _a0_)) * T)) + _a3_)	{'Italy': {'_a0_': 1746590.7118193696, '_a1_': 0.4996341928323073, '_a2_': -2.632065306705468e+65, '_a3_': -0.18404973062499372, '_a4_': 1.7344970468108235e-07}}	{'Italy': 0.014194135094812587}	-623.579993241526	132.7540891753777
22000	22000	-190.523169406686	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * P)) + _a1_) ** ((P * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / (T + T))) * _a4_) + ((T * _a0_) * P)) + _a3_)	{'Italy': {'_a0_': 132.65323614730823, '_a1_': 0.49963339105474264, '_a2_': -3.2119613946369037e+41, '_a3_': -0.1828782494919265, '_a4_': 2.8073209085872328e-05}}	{'Italy': 0.01436261280625372}	-622.317431807849	120.63554649723844
24000	24000	-177.743174966499	((((((_a0_ / P) / (_a3_ + (_a1_ / (((_a1_ + (P * sin(P))) + _a1_) ** (((P / _a0_) * pow3(_a4_)) * (((_a4_ * pow2(_a4_)) * _a4_) * (_a2_ * _a4_))))))) * (_a4_ / (T + T))) * _a4_) + ((T * _a0_) * T)) + _a3_)	{'Italy': {'_a0_': 7368.355979463995, '_a1_': 0.49963382152896824, '_a2_': -1.4531778374922227e+52, '_a3_': -0.2004365564332763, '_a4_': 3.930429067799246e-06}}	{'Italy': 0.01456345078075425}	-620.831574007903	132.67261203745318
43000	43000	-192.318452269027	((((((_a1_ * -(sin((_a4_ * (_a3_ / (_a4_ + (_a4_ * (T * _a4_)))))))) + (((_a3_ * P) + (_a0_ * _a3_)) * -(_a0_))) * (_a1_ + T)) * log(P)) + (_a1_ + (pow2(_a2_) * T))) / P)	{'Italy': {'_a0_': -0.052436146190662274, '_a1_': -0.018139683751094034, '_a2_': 2.0450112129709055, '_a3_': -89.24085973291314, '_a4_': -74.95390500937447}}	{'Italy': 0.016675877683489052}	-606.338615939329	110.85085570063742
57000	57000	-177.958736520519	((((((_a2_ ** ((P * ((_a1_ * (_a2_ * _a4_)) / (log(pow3(_a1_)) * _a1_))) + -(_a3_))) * ((P + P) ** _a3_)) + (((T + _a0_) * _a1_) * _a3_)) * ((_a3_ / _a1_) + T)) + (T ** (pow2(_a2_) / _a0_))) * _a2_)	{'Italy': {'_a0_': -0.008601160061373514, '_a1_': 5.0995693240593186e-33, '_a2_': 0.058038082250499376, '_a3_': 46.51473299480606, '_a4_': -4171517.7422662266}}	{'Italy': 0.016541661429296604}	-607.203292717648	125.64290983830428
65000	65000	-171.063353045741	((((((_a2_ ** ((P * ((_a1_ * (_a2_ * _a4_)) / (log(pow3(pow3(_a1_))) * _a1_))) + -(_a3_))) * ((P + P) ** _a3_)) + (((T + _a0_) * _a1_) * _a3_)) * ((_a3_ / _a1_) + _a0_)) + (T ** ((_a3_ * _a0_) + T))) * _a2_)	{'Italy': {'_a0_': -0.00883520893393757, '_a1_': 1.7660859747596682e-34, '_a2_': 0.08262160575619525, '_a3_': 39.992266352302885, '_a4_': -9070441.666314598}}	{'Italy': 0.016225098439272143}	-609.270832747274	133.5720633278963
69000	69000	-164.709893073468	((((((_a2_ ** ((P * ((_a1_ * (_a2_ * _a4_)) / (log(pow3(pow3(_a1_))) * _a1_))) + -(_a3_))) * (P ** _a3_)) + ((((_a0_ + T) + _a0_) * _a2_) * _a3_)) * ((_a3_ / _a1_) + _a4_)) + (T ** ((_a3_ * _a0_) + _a1_))) * sin(_a3_))	{'Italy': {'_a0_': -0.0060293396987329065, '_a1_': 4.560515497098404e-06, '_a2_': 0.006774093433443729, '_a3_': 38.00754964247863, '_a4_': -8332226.940288371}}	{'Italy': 0.016193075527397325}	-609.482223597888	140.03121872547533
47000	47000	-184.074334392522	((((((_a2_ ** ((P * ((_a1_ * _a4_) / (log(_a1_) * _a1_))) + -((_a3_ + _a1_)))) * ((P + P) ** _a3_)) + (((T + _a0_) * _a1_) * _a3_)) * ((_a3_ / _a1_) + T)) + (T ** (pow2(_a2_) / _a0_))) * _a2_)	{'Italy': {'_a0_': -0.008601161463328986, '_a1_': 5.0996569573973085e-33, '_a2_': 0.058038083120850764, '_a3_': 46.51472140172257, '_a4_': -80702.26025105975}}	{'Italy': 0.016541661429214087}	-607.203292718182	119.5273119665687
46000	46000	-189.390008404442	((((((_a2_ ** ((P * ((_a1_ * _a4_) / (log(_a1_) * _a1_))) + -(_a3_))) * ((P + P) ** _a3_)) + (((T + _a0_) * _a1_) * _a3_)) * ((_a3_ / _a1_) + _a1_)) + (T ** (pow2(_a2_) / _a0_))) * _a2_)	{'Italy': {'_a0_': -0.008601161463328986, '_a1_': 5.0996569573973085e-33, '_a2_': 0.058038083120850764, '_a3_': 46.51472140172257, '_a4_': -80702.26025105975}}	{'Italy': 0.016541661429214087}	-607.203292718182	114.21163795464872
30000	30000	-198.311427997168	((((((_a2_ ** ((P * ((_a1_ * _a4_) / (log(_a1_) * _a1_))) + T)) * (P ** _a3_)) + (((T + _a0_) * _a1_) * _a3_)) * ((_a3_ / _a1_) + _a1_)) + (T ** (pow2(_a2_) / _a0_))) * _a2_)	{'Italy': {'_a0_': -0.008601084373405283, '_a1_': 1.5888945438670174e-104, '_a2_': 0.05803688272220679, '_a3_': 46.51370386702489, '_a4_': -259385.4643164819}}	{'Italy': 0.016535139623441362}	-607.24548744104	105.31131572335156
85000	85000	-196.932099620789	((((((_a3_ * -(sin((_a2_ / (pow2(_a1_) / (_a3_ + (_a4_ * (-(_a2_) * T)))))))) + ((P / (T + _a2_)) * _a4_)) * (_a0_ * (_a3_ * pow2(_a3_)))) * log(P)) + (_a2_ * _a1_)) / P)	{'Italy': {'_a0_': 1.532091232362657e-46, '_a1_': 5.04819269654043, '_a2_': 0.0018517753319414964, '_a3_': 37549500497.90705, '_a4_': 59516768813.76507}}	{'Italy': 0.01569432471551698}	-612.829670486992	109.48273562270644
62000	62000	-171.137330941935	((((((cos(_a4_) * -(cos(((_a1_ / _a0_) / (_a3_ / ((_a3_ * _a4_) + (_a4_ * (_a2_ * T)))))))) + (((sin(_a0_) * P) / (T + _a2_)) * tanh((_a2_ ** (-(T) * _a1_))))) * _a4_) * log(P)) + _a3_) / P)	{'Italy': {'_a0_': -6.283185302383617, '_a1_': 3.104775497116468, '_a2_': 0.0014112923004389974, '_a3_': 0.010024629656592458, '_a4_': 119394.65800335574}}	{'Italy': 0.016009694572381834}	-610.700874926892	134.21310652151018
51000	51000	-177.070323140538	((((((tan(abs((pow2(_a1_) + _a1_))) * -(cos((((_a1_ * _a1_) + _a0_) / (_a3_ / (_a3_ + (_a4_ * (_a2_ * T)))))))) + (((sin(_a4_) * P) / (T + _a2_)) * _a3_)) * _a1_) * log(P)) + _a3_) / P)	{'Italy': {'_a0_': -7.452787948354282, '_a1_': 3.0800093012893743, '_a2_': 0.0017571202595841563, '_a3_': 0.0094556005935155, '_a4_': 21337.71356461654}}	{'Italy': 0.015664258797599015}	-613.034849027767	129.4471013733452
