strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,1.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.362844702467344
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,1.4702615632999498
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.5013524876262402
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,1.557092674265185
3,5,3,0.0
1,1,4,0.00018136821677446858
2,1,4,0.00432342626246667
3,1,4,0.0016410615673863487
1,2,4,3.8375930656227107e-7
2,2,4,0.001302520888708979
3,2,4,5.0139345912782016e-5
1,3,4,0.00021030353149685524
2,3,4,0.006463229801993522
3,3,4,0.5263062227880848
1,4,4,0.0
2,4,4,0.009865165842614284
3,4,4,0.0001468025721950184
1,5,4,0.0019607766045735262
2,5,4,1.5060916160395559
3,5,4,0.017167728741553576
1,1,5,0.0004484092477847248
2,1,5,0.01312137793685535
3,1,5,0.004976502066970613
1,2,5,1.0713658585822844e-6
2,2,5,0.003950617694050688
3,2,5,0.0001619164591862601
1,3,5,0.0005369933465835291
2,3,5,0.02001585460115987
3,3,5,0.5001635440192883
1,4,5,0.0
2,4,5,0.029895421503375205
3,4,5,0.00044490858801563926
1,5,5,0.004847687252629587
2,5,5,1.428328390305026
3,5,5,0.05204031766148062
1,1,6,0.0007394380715088506
2,1,6,0.024849500271355754
3,1,6,0.009429769940419322
1,2,6,5.401822211494968e-6
2,2,6,0.007567176617644727
3,2,6,0.0003507725233085699
1,3,6,0.0009109333682225185
2,3,6,0.038608035281558734
3,3,6,0.45554652593482076
1,4,6,1.6761629879730857e-5
2,4,6,0.05682366289589954
3,4,6,0.000989678918785934
1,5,6,0.007977569779657254
2,5,6,1.3639947511608035
3,5,6,0.09843689396075059
1,1,7,0.0010264810274988956
2,1,7,0.03780643339028775
3,1,7,0.014378142527246974
1,2,7,1.8395744140378646e-5
2,2,7,0.011820602518739573
3,2,7,0.0006549069465653068
1,3,7,0.0013011669561248625
2,3,7,0.05982917542334315
3,3,7,0.40808629050377093
1,4,7,7.44328100454367e-5
2,4,7,0.08732364719593658
3,4,7,0.002019355127340208
1,5,7,0.011024485612610197
2,5,7,1.3217362510034534
3,5,7,0.14956408236604596
1,1,8,0.0013010921921422988
2,1,8,0.05075331475958722
3,1,8,0.019378459002374917
1,2,8,4.458973554864132e-5
2,2,8,0.016552889966611722
3,2,8,0.0011269950362959979
1,3,8,0.0017002668561415311
2,3,8,0.08190328534650211
3,3,8,0.36440549364367314
1,4,8,0.000193997399098123
2,4,8,0.1192260419149053
3,4,8,0.0038382214298515443
1,5,8,0.013877051309232034
2,5,8,1.2989855957312044
3,5,8,0.20046712572694206
1,1,9,0.0015635755535616835
2,1,9,0.06300295163595573
3,1,9,0.024191366372633763
1,2,9,8.706633598886668e-5
2,2,9,0.02174558915245894
3,2,9,0.001818355318667861
1,3,9,0.0021106883665916523
2,3,9,0.1038487346059885
3,3,9,0.32669376893005503
1,4,9,0.00038872289666013485
2,4,9,0.1515261716888408
3,4,9,0.0067206266664441286
1,5,9,0.016526983038436395
2,5,9,1.2908719659328274
3,5,9,0.24838015648944423
1,1,10,0.00181697899732451
2,1,10,0.07429444486569844
3,1,10,0.028728275728604577
1,2,10,0.0001474896650733785
2,2,10,0.027448465000512564
3,2,10,0.0027681991633350146
1,3,10,0.0025370335161067573
2,3,10,0.12529146818405346
3,3,10,0.2951552240050322
1,4,10,0.0006644522217853423
2,4,10,0.18399412795094536
3,4,10,0.010853844654381755
1,5,10,0.019004286687154794
2,5,10,1.2933115790805267
3,5,10,0.29222695576059377
1,1,11,0.0020644647000693105
2,1,11,0.08462918419181838
3,1,11,0.03298823602756755
1,2,11,0.00022657240226055548
2,2,11,0.033725521250064776
3,2,11,0.004000725882601089
1,3,11,0.002982983807593215
2,3,11,0.14621821414833172
3,3,11,0.2692311392314252
1,4,11,0.0010219696227640998
2,4,11,0.21678950137977007
3,4,11,0.01632704879546945
1,5,11,0.021346515208207954
2,5,11,1.3035932275479887
3,5,11,0.331969160295357
1,1,12,0.002308508448258327
2,1,12,0.09413955460093094
3,1,12,0.03701034582720552
1,2,12,0.0003245655271905085
2,2,12,0.040628883916084144
3,2,12,0.005527654365693134
1,3,12,0.003450734807913624
2,3,12,0.16678514020305052
3,3,12,0.24816378577755205
1,4,12,0.0014594994248578422
2,4,12,0.25020684435770707
3,4,12,0.023150113080188522
1,5,12,0.0235873286203285
2,5,12,1.3201211383961027
3,5,12,0.368085251491194
1,1,13,0.002550883413039129
2,1,13,0.10300493158417764
3,1,13,0.04084544645050551
1,2,13,0.0004416016006566737
2,2,13,0.04819303404784631
3,2,13,0.007352835108800391
1,3,13,0.0039413845119050835
2,3,13,0.18720249522539636
3,3,13,0.2312278794571505
1,4,13,0.001974515946333896
2,4,13,0.28454732342674754
3,4,13,0.031283193621283185
1,5,13,0.025754052734311427
2,5,13,1.3420171020852054
3,5,13,0.40123842742525817
1,1,14,0.0027928763550325655
2,1,14,0.11140655295662116
3,1,14,0.04454255106904167
1,2,14,0.0005778765670112184
2,2,14,0.05643904350411194
3,2,14,0.009476605905568454
1,3,14,0.004455481413517308
2,3,14,0.20767851467636894
3,3,14,0.21780596847652886
1,4,14,0.0025647647478761917
2,4,14,0.32007302503092966
3,4,14,0.040664268827787196
1,5,14,0.027868538374889774
2,5,14,1.3688096555713904
3,5,14,0.4320996720191626
1,1,15,0.0030355041252703354
2,1,15,0.11950779773874631
3,1,15,0.048144164741604115
1,2,15,0.0007337170115155347
2,2,15,0.06538144527957024
3,2,15,0.01189888204696027
1,3,15,0.004993439806849258
2,3,15,0.2283992783402993
3,3,15,0.20739731438285655
1,4,15,0.0032286966591732894
2,4,15,0.3570030026353738
3,4,15,0.05122905966580587
1,5,15,0.029948716764770733
2,5,15,1.4002420554348411
3,5,15,0.46127189873698543
1,1,16,0.0032796636782820455
2,1,16,0.12744857587006456
3,1,16,0.051685982344018645
1,2,16,0.0009095862706216066
2,2,16,0.07503407465329381
3,2,16,0.014620895492413962
1,3,16,0.0055557778905519495
2,3,16,0.24952635032718762
3,3,16,0.19960289192982988
1,4,16,0.0039655614573314265
2,4,16,0.3955245771866207
3,4,16,0.0629227419798707
1,5,16,0.032009918609792506
2,5,16,1.436169756599615
3,5,16,0.48926968241535046
1,1,17,0.003526217009325042
2,1,17,0.13534636328565175
3,1,17,0.05519821455362272
1,2,17,0.001106067590354663
2,2,17,0.08541380329879822
3,2,17,0.017645921515938846
1,3,17,0.006143222671265212
2,3,17,0.2712011859661784
3,3,17,0.1941051633081186
1,4,17,0.004775348399110738
2,4,17,0.4358065729089548
3,4,17,0.07570523638985541
1,5,17,0.03406577266913135
2,5,17,1.4765116612525442
3,5,17,0.5165245510733087
1,1,18,0.0037760314398548856
2,1,18,0.1432996750750036
3,1,18,0.05870716406076036
1,2,18,0.0013238449606400881
2,2,18,0.09654238386295486
3,2,18,0.020979408995956315
1,3,18,0.006756737663569805
2,3,18,0.29355083591533443
3,3,18,0.19064974576456253
1,4,18,0.005658683743404609
2,4,18,0.4780095873353423
3,4,18,0.08955240600351394
1,5,18,0.036128759668289975
2,5,18,1.5212291341803148
3,5,18,0.5433990445696844
1,1,19,0.0040299948023140054
2,1,19,0.15139193397659953
3,1,19,0.06223651648248894
1,2,19,0.001563689643981176
2,2,19,0.10844703281493827
3,2,19,0.024628843360928045
1,3,19,0.00739751503322284
2,3,19,0.3166928252151899
3,3,19,0.18903093155469203
1,4,19,0.00661673633044841
2,4,19,0.5222925980854007
3,4,19,0.10445512140143219
1,5,19,0.03821054381902613
2,5,19,1.5703175622574945
3,5,19,0.5702015649894676
1,1,20,0.004289018852252934
2,1,20,0.1596949181083163
3,1,20,0.06580823830458361
1,2,20,0.0018264535664317438
2,2,20,0.12116034475565167
3,2,20,0.028603544494106157
1,3,20,0.008066956395691369
