time,R_eff
1,4.2658002748154615
2,4.265757134742343
3,4.265702311100025
4,4.265632427985364
5,4.2655432841888485
6,4.265429579798171
7,4.265284581193315
8,4.26509971558647
9,4.259725967936084
10,4.25122057874118
11,4.240072476375912
12,4.22546077190276
13,4.206316051039134
14,4.18125033975839
15,4.148470925506677
16,4.105676801429219
17,4.049938481728564
18,3.9775659607711376
19,3.8839771286754208
20,3.7635924293522574
21,3.609804890350019
22,3.4151142375345356
23,3.1715798855630304
24,2.871856604320654
25,2.5112548607818885
26,2.0915570569143
27,1.627787612533379
28,1.1598845406259581
29,0.7857591497186184
30,0.7070470457737825
31,0.7065241324274448
32,0.7060005916419977
33,0.7054863992367326
34,0.7049871212107661
35,0.7045053454348723
36,0.7040419098841523
37,0.7035967377117389
38,0.7031693326042923
39,0.7027590415531844
40,0.7023651789844066
41,0.7019870770061845
42,0.7016241005499597
43,0.7012756481451448
44,0.7009411482201452
45,0.7006200549978786
46,0.700311845265277
47,0.7000160161435696
48,0.6997320836200054
49,0.6994595815623902
50,0.6991980610035199
51,0.6989470895605383
52,0.6987062509143154
53,0.6984751443123155
54,0.6982533840799369
55,0.698040599135981
56,0.697836432512454
57,0.6976405408803755
58,0.6974525940834002
59,0.6972722746807077
60,0.6970992775002179
61,0.6969333092028226
62,0.6967740878580682
63,0.6966213425315355
64,0.6964748128840446
65,0.6963342487827088
66,0.6961994099238077
67,0.696070065467393
68,0.6959459936835023
69,0.6958269816098226
70,0.6957128247206226
71,0.695603326606747
72,0.6954982986664494
73,0.6953975598068332
74,0.6953009361556459
75,0.695208260783179
76,0.695119373434008
77,0.6950341202683105
78,0.6949523536124922
79,0.69487393171886
80,0.6947987185340649
81,0.6947265834760584
82,0.6946574012192934
83,0.6945910514879117
84,0.6945274188566594
85,0.6944663925592812
86,0.6944078663041426
87,0.6943517380968394
88,0.6942979100695541
89,0.6942462883169334
90,0.6941967827382518
91,0.6941493068856501
92,0.6941037778182239
93,0.694060115961763
94,0.6940182449739326
95,0.6939780916147006
96,0.6939395856218205
97,0.6939026595911845
98,0.6938672488618658
99,0.6938332914056786
100,0.6938007277210836
101,0.69376950073128
102,0.6937395556863254
103,0.6937108400691294
104,0.6936833035051749
105,0.6936568976758278
106,0.6936315762350928
107,0.6936072947296872
108,0.6935840105223042
109,0.6935616827179395
110,0.6935402720931677
111,0.6935197410282495
112,0.6935000534419612
113,0.6934811747290415
114,0.6934630717001503
115,0.6934457125242436
116,0.6934290666732686
117,0.6934131048690868
118,0.6933977990325386
119,0.6933831222345644
120,0.6933690486492993
121,0.6933555535090665
122,0.6933426130611888
123,0.6933302045265516
124,0.693318306059843
125,0.6933068967114075
126,0.6932959563906458
127,0.6932854658309012
128,0.6932754065557714
129,0.6932657608467907
130,0.6932565117124252
131,0.6932476428583287
132,0.6932391386588114
133,0.6932309841294662
134,0.6932231649009155
135,0.6932156671936228
136,0.6932084777937346
137,0.6932015840299056
138,0.6931949737510701
139,0.6931886353051209
140,0.6931825575184583
141,0.6931767296763728
142,0.6931711415042338
143,0.6931657831494403
144,0.6931606451641158
145,0.6931557184885063
146,0.6931509944350588
147,0.6931464646731524
148,0.6931421212144511
149,0.6931379563988591
150,0.6931339628810497
151,0.6931301336175453
152,0.693126461854326
153,0.6931229411149492
154,0.6931195651891511
155,0.6931163281219187
156,0.6931132242030081
157,0.6931102479568928
158,0.6931073941331245
159,0.6931046576970875
160,0.6931020338211346
161,0.693099517876085
162,0.6930971054230706
163,0.6930947922057181
164,0.6930925741426507
165,0.6930904473202986
166,0.6930884079860025
167,0.6930864525414028
168,0.6930845775360986
169,0.6930827796615668
170,0.6930810557453309
171,0.69307940274537
172,0.6930778177447577
173,0.6930762979465186
174,0.6930748406686992
175,0.6930734433396388
176,0.6930721034934372
177,0.6930708187656042
178,0.6930695868888938
179,0.6917984300196268
