1;1
1;3
1;9
1;10
1;12
1;13
1;14
1;17
1;18
1;19
1;22
1;32
1;34
1;35
1;36
1;38
1;39
1;40
1;41
1;42
2;2
2;3
2;6
2;9
2;11
2;12
2;13
2;14
2;16
2;20
2;21
2;22
2;26
2;30
2;33
2;34
2;36
2;41
2;42
3;3
3;6
3;8
3;9
3;10
3;12
3;13
3;14
3;16
3;17
3;18
3;21
3;22
3;23
3;33
3;34
3;35
3;38
3;41
3;42
4;4
4;8
4;12
4;14
4;15
4;16
4;19
4;22
4;23
4;25
4;26
4;27
4;35
4;37
4;40
4;41
5;5
5;6
5;7
5;10
5;14
5;25
5;28
5;35
6;6
6;8
6;10
6;12
6;13
6;14
6;15
6;17
6;18
6;21
6;22
6;23
6;24
6;25
6;26
6;29
6;34
6;35
6;38
6;40
6;41
6;42
7;7
7;11
7;14
7;24
7;27
7;28
7;35
7;41
8;8
8;10
8;11
8;12
8;13
8;14
8;15
8;16
8;18
8;19
8;20
8;21
8;22
8;23
8;24
8;26
8;33
8;34
8;35
8;36
8;37
8;38
8;40
8;41
8;42
9;9
9;10
9;12
9;13
9;14
9;17
9;18
9;19
9;21
9;22
9;24
9;25
9;31
9;32
9;34
9;35
9;38
9;39
9;41
9;42
10;10
10;12
10;14
10;16
10;18
10;21
10;24
10;32
10;35
10;38
10;39
10;41
10;42
11;11
11;12
11;14
11;16
11;20
11;21
11;22
11;26
11;30
11;33
11;35
11;36
11;38
11;40
11;41
11;42
12;12
12;13
12;14
12;15
12;16
12;17
12;18
12;19
12;20
12;21
12;22
12;24
12;25
12;26
12;27
12;28
12;29
12;33
12;34
12;35
12;36
12;37
12;38
12;39
12;40
12;41
12;42
13;13
13;14
13;17
13;18
13;22
13;24
13;26
13;30
13;32
13;35
13;36
13;38
13;40
13;41
13;42
14;14
14;15
14;16
14;17
14;18
14;19
14;20
14;21
14;22
14;23
14;24
14;25
14;26
14;27
14;28
14;29
14;30
14;31
14;32
14;33
14;34
14;35
14;36
14;37
14;38
14;39
14;40
14;41
14;42
15;15
15;16
15;17
15;19
15;21
15;22
15;23
15;26
15;33
15;34
15;37
15;40
15;41
15;42
16;16
16;21
16;22
16;26
16;33
16;35
16;41
16;42
17;17
17;18
17;19
17;21
17;29
17;32
17;34
17;35
17;38
17;40
17;41
17;42
18;18
18;22
18;23
18;24
18;25
18;35
18;36
18;38
18;41
18;42
19;19
19;21
19;22
19;25
19;27
19;29
19;32
19;34
19;35
19;36
19;38
19;40
19;41
20;20
20;21
20;22
20;26
20;30
20;33
20;34
20;35
20;36
20;37
20;41
20;42
21;21
21;22
21;24
21;26
21;29
21;30
21;33
21;35
21;36
21;38
21;40
21;41
21;42
22;22
22;23
22;25
22;26
22;36
22;38
22;41
22;42
23;23
23;26
23;37
23;41
23;42
24;24
24;30
24;32
24;33
24;35
24;38
24;41
25;25
25;27
25;29
25;34
25;35
25;37
25;40
25;42
26;26
26;30
26;31
26;33
26;34
26;35
26;36
26;41
26;42
27;27
27;28
27;29
27;35
27;40
27;41
28;28
28;35
28;41
29;29
29;30
29;34
29;35
29;37
29;38
29;40
29;41
30;30
30;36
30;41
30;42
31;31
31;32
31;38
32;32
32;35
32;38
32;39
32;41
33;33
33;38
33;41
33;42
34;34
34;35
34;37
34;40
34;41
34;42
35;35
35;37
35;38
35;40
35;41
35;42
36;36
36;38
36;40
36;41
36;42
37;37
37;41
38;38
38;39
38;40
38;41
38;42
39;39
40;40
40;41
40;42
41;41
41;42
42;42
